record_type,profile,source,source_seed,source_rank,region_index,theta_rad,theta_deg,uav_speed_mps,release_time_s,fuse_delay_s,burst_time_s,feasible,reason,valid_start_s,valid_end_s,intervals_s,duration_s,elapsed_seconds,iterations,function_evaluations,success,message,release_point_x_m,release_point_y_m,release_point_z_m,burst_point_x_m,burst_point_y_m,burst_point_z_m,surface_rank,high_rim_duration_s,selected
surface_review,standard,directed_de_population,20250822,1,2,0.103436697315,5.9264862029,138.7915231228,0.2944979344,0.5391236072,0.8336215416,True,,0.8336215416,20.8336215416,"[0.8654688980, 5.4529022820]",4.5874333840,,,,,,17840.6553542002,4.2203175841,1800.0000000000,17915.0812113884,11.9462557780,1798.5757941073,1,4.5874333840,True
surface_review,standard,directed_de_population,20250825,1,5,0.094636112131,5.4222498146,136.5742406073,0.6404539057,0.2749542625,0.9154081682,True,,0.9154081682,20.9154081682,"[0.9325387178, 5.5192374797]",4.5866987619,,,,,,17887.0781098860,8.2654235436,1800.0000000000,17924.4617486953,11.8138653824,1799.6295607523,2,4.5866987619,False
surface_review,standard,directed_de_population,20250822,2,2,0.098386354212,5.6371228580,131.6504532275,0.4977308839,0.4165235904,0.9142544743,True,,0.9142544743,20.9142544743,"[0.9368479803, 5.5234146627]",4.5865666824,,,,,,17865.2096080623,6.4365172382,1800.0000000000,17919.7799410513,11.8228843614,1799.1498896835,3,4.5865666824,False
surface_review,standard,directed_de_population,20250825,2,5,0.095344086628,5.4628137653,136.2433672219,0.5210434541,0.3675835302,0.8886269844,True,,0.8886269844,20.8886269844,"[0.9931711086, 5.5797169330]",4.5865458244,,,,,,17870.6662977428,6.7581042054,1800.0000000000,17920.5196583132,11.5257829502,1799.3379235067,4,4.5865458244,False
surface_review,standard,directed_de_population,20250822,3,2,0.091646427672,5.2509535131,124.4325465406,0.6515300890,0.3492520801,1.0007821690,True,,1.0007821690,21.0007821690,"[1.0180167977, 5.6045424852]",4.5865256875,,,,,,17880.7313236374,7.4195214074,1800.0000000000,17924.0072723375,11.3967487503,1799.4023126244,5,4.5865256875,False
surface_review,standard,directed_de_population,20250822,4,2,0.091493185942,5.2421734087,124.2459185438,0.6561705447,0.3467842619,1.0029548067,True,,1.0029548067,21.0029548067,"[1.0209371581, 5.6074307196]",4.5864935615,,,,,,17881.1855206802,7.4487179614,1800.0000000000,17924.0918368727,11.3853441652,1799.4107293108,6,4.5864935615,False
surface_review,standard,directed_de_population,20250826,1,6,0.105536320638,6.0467857579,136.6956352321,0.2919226083,0.5364921927,0.8284148010,True,,0.8284148010,20.8284148010,"[0.9144077439, 5.5008993910]",4.5864916471,,,,,,17839.6825258396,4.2035656902,1800.0000000000,17912.6106399949,11.9288329718,1798.5896630230,7,4.5864916471,False
surface_review,standard,directed_de_population,20250823,1,3,0.103055157891,5.9046256042,128.2985312861,0.3019678249,0.5885570364,0.8905248613,True,,0.8905248613,20.8905248613,"[0.9088444690, 5.4951075446]",4.5862630757,,,,,,17838.5364831845,3.9855025235,1800.0000000000,17913.6468640565,11.7535339516,1798.3026430129,8,4.5862630757,False
surface_review,standard,directed_de_population,20250825,3,5,0.090001481934,5.1567050647,139.7664039908,0.6335330948,0.2752332072,0.9087663020,True,,0.9087663020,20.9087663020,"[0.9605266120, 5.5466779198]",4.5861513077,,,,,,17888.1882587770,7.9585744511,1800.0000000000,17926.5009175781,11.4161112221,1799.6288087401,9,4.5861513077,False
surface_review,standard,directed_de_population,20250822,5,2,0.111094755439,6.3652606127,136.2760496479,0.1755109293,0.6142867965,0.7897977258,True,,0.7897977258,20.7897977258,"[0.9256514774, 5.5116568652]",4.5860053878,,,,,,17823.7704897383,2.6516948428,1800.0000000000,17906.9670066236,11.9326047944,1798.1509934851,10,4.5860053878,False
