profile,region_index,seed,generation,best_duration_s
standard,1,20250831,1,4.4892436012
standard,1,20250831,2,4.4892436012
standard,1,20250831,3,4.4892436012
standard,1,20250831,4,4.4892436012
standard,1,20250831,5,4.5614427308
standard,1,20250831,6,4.5614427308
standard,1,20250831,7,4.5614427308
standard,1,20250831,8,4.5614427308
standard,1,20250831,9,4.5614427308
standard,1,20250831,10,4.5656019964
standard,1,20250831,11,4.5666592052
standard,1,20250831,12,4.5676345522
standard,1,20250831,13,4.5757730358
standard,1,20250831,14,4.5779838165
standard,1,20250831,15,4.5789070800
standard,1,20250831,16,4.5789070800
standard,1,20250831,17,4.5789070800
standard,1,20250831,18,4.5851521490
standard,1,20250831,19,4.5851521490
standard,1,20250831,20,4.5866301537
standard,1,20250831,21,4.5866301537
standard,1,20250831,22,4.5866301537
standard,1,20250831,23,4.5866301537
standard,1,20250831,24,4.5866301537
standard,1,20250831,25,4.5866301537
standard,1,20250831,26,4.5868014735
standard,1,20250831,27,4.5870797323
standard,1,20250831,28,4.5870797323
standard,1,20250831,29,4.5870797323
standard,1,20250831,30,4.5870797323
standard,1,20250831,31,4.5870797323
standard,1,20250831,32,4.5870797323
standard,1,20250831,33,4.5870797323
standard,1,20250831,34,4.5874449279
standard,1,20250831,35,4.5874449279
standard,1,20250831,36,4.5874541831
standard,1,20250831,37,4.5874541831
standard,1,20250831,38,4.5874541831
standard,1,20250831,39,4.5874541831
standard,1,20250831,40,4.5874541831
standard,1,20250831,41,4.5874541831
standard,1,20250831,42,4.5874541831
standard,1,20250831,43,4.5877875622
standard,1,20250831,44,4.5877875622
standard,1,20250831,45,4.5877875622
standard,1,20250831,46,4.5877875622
standard,1,20250831,47,4.5877875622
standard,1,20250831,48,4.5877875622
standard,1,20250831,49,4.5877875622
standard,1,20250831,50,4.5877875622
standard,1,20250831,51,4.5878541950
standard,1,20250831,52,4.5878541950
standard,1,20250831,53,4.5878541950
standard,1,20250831,54,4.5878541950
standard,1,20250831,55,4.5878541950
standard,1,20250831,56,4.5878541950
standard,1,20250831,57,4.5878541950
standard,1,20250831,58,4.5878541950
standard,1,20250831,59,4.5878541950
standard,1,20250831,60,4.5878541950
standard,1,20250831,61,4.5878541950
standard,1,20250831,62,4.5878541950
standard,1,20250831,63,4.5878541950
standard,1,20250831,64,4.5878541950
standard,1,20250831,65,4.5878722773
standard,1,20250831,66,4.5878722773
standard,1,20250831,67,4.5878722773
standard,1,20250831,68,4.5878722773
standard,1,20250831,69,4.5878722773
standard,1,20250831,70,4.5878722773
standard,1,20250831,71,4.5878722773
standard,1,20250831,72,4.5879374372
standard,1,20250831,73,4.5879374372
standard,1,20250831,74,4.5879374372
standard,1,20250831,75,4.5879374372
standard,1,20250831,76,4.5879374372
standard,1,20250831,77,4.5879374372
standard,1,20250831,78,4.5879393348
standard,1,20250831,79,4.5879393348
standard,1,20250831,80,4.5879564539
standard,1,20250831,81,4.5879564539
standard,1,20250831,82,4.5879564539
standard,1,20250831,83,4.5879564539
standard,1,20250831,84,4.5879564539
standard,1,20250831,85,4.5879666472
standard,1,20250831,86,4.5879666472
standard,1,20250831,87,4.5879666472
standard,1,20250831,88,4.5879666472
standard,1,20250831,89,4.5879666472
standard,1,20250831,90,4.5879666472
standard,1,20250831,91,4.5879666472
standard,1,20250831,92,4.5879666472
standard,1,20250831,93,4.5879666472
standard,1,20250831,94,4.5879667613
standard,1,20250831,95,4.5879719481
standard,1,20250831,96,4.5879723781
standard,1,20250831,97,4.5879768611
standard,1,20250831,98,4.5879768611
standard,1,20250831,99,4.5879768611
standard,1,20250831,100,4.5879819000
standard,1,20250831,101,4.5879819000
standard,1,20250831,102,4.5879819000
standard,1,20250831,103,4.5879993781
standard,1,20250831,104,4.5879993781
standard,1,20250831,105,4.5879997271
standard,1,20250831,106,4.5879997271
standard,1,20250831,107,4.5880114817
standard,1,20250831,108,4.5880114817
standard,2,20250901,1,4.5528363873
standard,2,20250901,2,4.5528363873
standard,2,20250901,3,4.5528363873
standard,2,20250901,4,4.5528363873
standard,2,20250901,5,4.5528363873
standard,2,20250901,6,4.5528363873
standard,2,20250901,7,4.5528363873
