run,seed,region,iterations,function_evaluations,duration_s,gap_to_best_ms
1,20250831,1,108,8641,4.5880114817,0.049421
2,20250901,2,106,8441,4.5879726042,0.088299
3,20250902,3,102,8126,4.5880609028,0.000000
4,20250903,4,125,9836,4.5880280805,0.032822
5,20250904,5,105,8408,4.5880284883,0.032414
6,20250905,6,142,11343,4.5880467155,0.014187
7,20250906,1,118,9317,4.5880529271,0.007976
8,20250907,2,120,9536,4.5880190239,0.041879
9,20250908,3,97,7753,4.5879901684,0.070734
10,20250909,4,104,8248,4.5880410569,0.019846
