state,time_s,mode,max_distance_m,margin_m,closest_projection,cloud_x_m,cloud_y_m,cloud_z_m,missile_x_m,missile_y_m,missile_z_m,worst_target_x_m,worst_target_y_m,worst_target_z_m,closest_x_m,closest_y_m,closest_z_m
margin_curve,0.8336215416,surface,10.1310197101,-0.1310197101,0.0929244606,17915.0812113910,11.9462557783,1798.5757941072,19751.1546690643,0.0000000000,1975.1154669064,0.7316992429,206.9616532676,0.0000000000,17915.8572680705,19.2317999937,1791.5789275313
margin_curve,0.8654688978,surface,10.0000000002,-0.0000000002,0.0924881580,17915.0812113910,11.9462557783,1798.4802520385,19741.6478779117,0.0000000000,1974.1647877912,0.7316992429,206.9616532676,0.0000000000,17915.8469040654,19.1415020795,1791.5779230550
margin_curve,0.8836215416,surface,9.9252936335,0.0747063665,0.0922392822,17915.0812113910,11.9462557783,1798.4257941072,19736.2291112112,0.0000000000,1973.6229111211,0.7316992429,206.9616532676,0.0000000000,17915.8409959021,19.0899943421,1791.5773504489
margin_curve,0.9336215416,surface,9.7194210789,0.2805789211,0.0915530669,17915.0812113910,11.9462557783,1798.2757941072,19721.3035533580,0.0000000000,1972.1303553358,0.7316992429,206.9616532676,0.0000000000,17915.8247193533,18.9479740846,1791.5757730044
margin_curve,0.9836215416,surface,9.5134018017,0.4865981983,0.0908658123,17915.0812113910,11.9462557783,1798.1257941072,19706.3779955049,0.0000000000,1970.6377995505,0.7316992429,206.9616532676,0.0000000000,17915.8084384090,18.8057387337,1791.5741951963
margin_curve,1.0336215416,surface,9.3072355726,0.6927644274,0.0901775160,17915.0812113910,11.9462557783,1797.9757941072,19691.4524376517,0.0000000000,1969.1452437652,0.7316992429,206.9616532676,0.0000000000,17915.7921530542,18.6632878006,1791.5726170234
margin_curve,1.0836215416,surface,9.1009221790,0.8990778210,0.0894881757,17915.0812113910,11.9462557783,1797.8257941072,19676.5268797986,0.0000000000,1967.6526879799,0.7316992429,206.9616532676,0.0000000000,17915.7758632737,18.5206207947,1791.5710384843
margin_curve,1.1336215416,surface,8.8944614277,1.1055385723,0.0887977890,17915.0812113910,11.9462557783,1797.6757941072,19661.6013219454,0.0000000000,1966.1601321945,0.7316992429,206.9616532676,0.0000000000,17915.7595690524,18.3777372240,1791.5694595777
margin_curve,1.1836215416,surface,8.6878531470,1.3121468530,0.0881063536,17915.0812113910,11.9462557783,1797.5257941072,19646.6757640923,0.0000000000,1964.6675764092,0.7316992429,206.9616532676,0.0000000000,17915.7432703749,18.2346365953,1791.5678803023
margin_curve,1.2336215416,surface,8.4810971897,1.5189028103,0.0874138669,17915.0812113910,11.9462557783,1797.3757941072,19631.7502062391,0.0000000000,1963.1750206239,0.7316992429,206.9616532676,0.0000000000,17915.7269672259,18.0913184135,1791.5663006566
margin_curve,1.2836215416,surface,8.2741934363,1.7258065637,0.0867203267,17915.0812113910,11.9462557783,1797.2257941072,19616.8246483860,0.0000000000,1961.6824648386,0.7316992429,206.9616532676,0.0000000000,17915.7106595901,17.9477821822,1791.5647206393
margin_curve,1.3336215416,surface,8.0671417988,1.9328582012,0.0860257305,17915.0812113910,11.9462557783,1797.0757941072,19601.8990905328,0.0000000000,1960.1899090533,0.7316992429,206.9616532676,0.0000000000,17915.6943474520,17.8040274035,1791.5631402490
margin_curve,1.3836215416,surface,7.8599422253,2.1400577747,0.0853300759,17915.0812113910,11.9462557783,1796.9257941072,19586.9735326797,0.0000000000,1958.6973532680,0.7316992429,206.9616532676,0.0000000000,17915.6780307960,17.6600535779,1791.5615594844
margin_curve,1.4336215416,surface,7.6525947048,2.3474052952,0.0846333605,17915.0812113910,11.9462557783,1796.7757941072,19572.0479748265,0.0000000000,1957.2047974827,0.7316992429,206.9616532676,0.0000000000,17915.6617096066,17.5158602044,1791.5599783441
