record_type,profile,source,source_seed,source_rank,region_index,theta_rad,theta_deg,uav_speed_mps,release_time_s,fuse_delay_s,burst_time_s,feasible,reason,valid_start_s,valid_end_s,intervals_s,duration_s,elapsed_seconds,iterations,function_evaluations,success,message,release_point_x_m,release_point_y_m,release_point_z_m,burst_point_x_m,burst_point_y_m,burst_point_z_m
region_center,standard,coarse_lhs,20250818,6578,1,0.111022968947,6.3611475497,96.6844387607,1.2101146476,0.0157763581,1.2258910057,True,,1.2258910057,21.2258910057,"[1.2258910057, 5.5570346262]",4.3311436205,26.988974,25,1967,True,Optimization terminated successfully.,17916.2789236622,12.9629359624,1800.0000000000,17917.7948609672,13.1319347593,1799.9987804220
directed_de_best,standard,directed_de_best,20250821,0,1,0.118455778480,6.7870161658,115.2033906889,0.1394880003,0.7478444993,0.8873324996,True,,0.8873324996,20.8873324996,"[0.9010057916, 5.4867032332]",4.5856974416,26.988974,25,1967,True,Optimization terminated successfully.,17815.9568806582,1.8990755052,1800.0000000000,17901.5073609652,12.0806908904,1797.2595701641
final_population_candidate,standard,directed_de_population,20250821,1,1,0.118455778480,6.7870161658,115.2033906889,0.1394880003,0.7478444993,0.8873324996,True,,0.8873324996,20.8873324996,"[0.9010057916, 5.4867032332]",4.5856974416,,,,,,17815.9568806582,1.8990755052,1800.0000000000,17901.5073609652,12.0806908904,1797.2595701641
final_population_candidate,standard,directed_de_population,20250821,2,1,0.106636278389,6.1098086947,137.5927664861,0.2130698788,0.5844355082,0.7975053870,True,,0.7975053870,20.7975053870,"[0.9633231444, 5.5489412453]",4.5856181009,,,,,,17829.1503465471,3.1203208091,1800.0000000000,17909.1076717859,11.6791386394,1798.3263321702
final_population_candidate,standard,directed_de_population,20250821,3,1,0.114322465917,6.5501948006,122.9462558031,0.1827194996,0.6753843739,0.8581038735,True,,0.8581038735,20.8581038735,"[0.9177763156, 5.5032704784]",4.5854941628,,,,,,17822.3180356771,2.5626268041,1800.0000000000,17904.8119818036,12.0348402452,1797.7648941425
final_population_candidate,standard,directed_de_population,20250821,4,1,0.101752964600,5.8300154245,108.8212564169,0.4275476059,0.6035538768,1.0311014827,True,,1.0311014827,21.0311014827,"[1.0643072873, 5.6492514128]",4.5849441255,,,,,,17846.2856166819,4.7260205308,1800.0000000000,17911.6253893820,11.3975770401,1798.2150413172
final_population_candidate,standard,directed_de_population,20250821,5,1,0.111907716429,6.4118398463,134.0857888373,0.1007039126,0.6869781376,0.7876820502,True,,0.7876820502,20.7876820502,"[0.9087182535, 5.4934965356]",4.5847782820,,,,,,17813.4185006798,1.5079338185,1800.0000000000,17904.9563204983,11.7946996405,1797.6874990884
final_population_candidate,standard,directed_de_population,20250821,6,1,0.123517178235,7.0770130102,120.2302219696,0.0527626123,0.7568381967,0.8096008090,True,,0.8096008090,20.8096008090,"[0.9576613801, 5.5421171824]",4.5844558023,,,,,,17806.2953310699,0.7815602009,1800.0000000000,17896.5969065391,11.9924269028,1797.1932601258
final_population_candidate,standard,directed_de_population,20250821,7,1,0.119731003382,6.8600811707,120.4824122616,0.0488678047,0.7675191971,0.8163870018,True,,0.8163870018,20.8163870018,"[0.9704418412, 5.5546919668]",4.5842501256,,,,,,17805.8455597007,0.7032584680,1800.0000000000,17897.6560946401,11.7486569337,1797.1134799820
final_population_candidate,standard,directed_de_population,20250821,8,1,0.112869863748,6.4669668270,124.0598522557,0.1045781247,0.7427428332,0.8473209578,True,,0.8473209578,20.8473209578,"[0.8752652037, 5.4591948275]",4.5839296238,,,,,,17812.8913929099,1.4612603316,1800.0000000000,17904.4496391689,11.8395363038,1797.2968321106
