parameter,perturbation,unit,theta_rad,uav_speed_mps,release_time_s,fuse_delay_s,feasible,duration_s,reason
heading,-3.0000000000,°,0.051076819755,138.7915231228,0.2944979344,0.5391236072,True,4.1106338026,
heading,-2.0000000000,°,0.068530112275,138.7915231228,0.2944979344,0.5391236072,True,4.3754391629,
heading,-1.0000000000,°,0.085983404795,138.7915231228,0.2944979344,0.5391236072,True,4.5315708936,
heading,-0.5000000000,°,0.094710051055,138.7915231228,0.2944979344,0.5391236072,True,4.5718047800,
heading,0.0000000000,°,0.103436697315,138.7915231228,0.2944979344,0.5391236072,True,4.5874333840,
heading,0.5000000000,°,0.112163343575,138.7915231228,0.2944979344,0.5391236072,True,4.4431553676,
heading,1.0000000000,°,0.120889989835,138.7915231228,0.2944979344,0.5391236072,True,4.2552332387,
heading,2.0000000000,°,0.138343282355,138.7915231228,0.2944979344,0.5391236072,True,3.8420972169,
heading,3.0000000000,°,0.155796574875,138.7915231228,0.2944979344,0.5391236072,True,3.3733310018,
speed,-5.0000000000,%,0.103436697315,131.8519469667,0.2944979344,0.5391236072,True,4.5844245690,
speed,-3.0000000000,%,0.103436697315,134.6277774291,0.2944979344,0.5391236072,True,4.5856525416,
speed,-1.0000000000,%,0.103436697315,137.4036078916,0.2944979344,0.5391236072,True,4.5868481498,
speed,0.0000000000,%,0.103436697315,138.7915231228,0.2944979344,0.5391236072,True,4.5874333840,
speed,1.0000000000,%,0.103436697315,140.1794383540,0.2944979344,0.5391236072,False,,无人机速度超出题设范围。
speed,3.0000000000,%,0.103436697315,142.9552688165,0.2944979344,0.5391236072,False,,无人机速度超出题设范围。
speed,5.0000000000,%,0.103436697315,145.7310992789,0.2944979344,0.5391236072,False,,无人机速度超出题设范围。
release_time,-0.3000000000,s,0.103436697315,138.7915231228,-0.0055020656,0.5391236072,False,,投放时刻和引爆延时必须非负。
release_time,-0.2000000000,s,0.103436697315,138.7915231228,0.0944979344,0.5391236072,True,4.5624421476,
release_time,-0.1000000000,s,0.103436697315,138.7915231228,0.1944979344,0.5391236072,True,4.5776396704,
release_time,-0.0500000000,s,0.103436697315,138.7915231228,0.2444979344,0.5391236072,True,4.5832535452,
release_time,0.0000000000,s,0.103436697315,138.7915231228,0.2944979344,0.5391236072,True,4.5874333840,
release_time,0.0500000000,s,0.103436697315,138.7915231228,0.3444979344,0.5391236072,True,4.3435257899,
release_time,0.1000000000,s,0.103436697315,138.7915231228,0.3944979344,0.5391236072,True,4.0665026547,
release_time,0.2000000000,s,0.103436697315,138.7915231228,0.4944979344,0.5391236072,True,3.5084880942,
release_time,0.3000000000,s,0.103436697315,138.7915231228,0.5944979344,0.5391236072,True,2.9448891788,
fuse_delay,-0.3000000000,s,0.103436697315,138.7915231228,0.2944979344,0.2391236072,True,4.5640208807,
fuse_delay,-0.2000000000,s,0.103436697315,138.7915231228,0.2944979344,0.3391236072,True,4.5724955861,
fuse_delay,-0.1000000000,s,0.103436697315,138.7915231228,0.2944979344,0.4391236072,True,4.5801828563,
fuse_delay,-0.0500000000,s,0.103436697315,138.7915231228,0.2944979344,0.4891236072,True,4.5838572660,
fuse_delay,0.0000000000,s,0.103436697315,138.7915231228,0.2944979344,0.5391236072,True,4.5874333840,
fuse_delay,0.0500000000,s,0.103436697315,138.7915231228,0.2944979344,0.5891236072,True,4.2972900019,
fuse_delay,0.1000000000,s,0.103436697315,138.7915231228,0.2944979344,0.6391236072,True,3.9699622742,
fuse_delay,0.2000000000,s,0.103436697315,138.7915231228,0.2944979344,0.7391236072,True,3.2988130743,
fuse_delay,0.3000000000,s,0.103436697315,138.7915231228,0.2944979344,0.8391236072,True,2.6047491824,
