profile,seed,generation,best_joint_duration_s
standard,1,1,7.5867405076
standard,1,2,7.5868558908
standard,1,3,7.5868558908
standard,1,4,7.5871459361
standard,1,5,7.5871459361
standard,1,6,7.5871459361
standard,1,7,7.5871459361
standard,1,8,7.5871459361
standard,1,9,7.5879336037
standard,1,10,7.5975583328
standard,1,11,7.6061504413
standard,1,12,7.6078779868
standard,1,13,7.6091361076
standard,1,14,7.6091361076
standard,1,15,7.6122330625
standard,1,16,7.6122330625
standard,1,17,7.6122330625
standard,1,18,7.6128488602
standard,1,19,7.6144739399
standard,1,20,7.6149163144
standard,1,21,7.6155490589
standard,1,22,7.6155490589
standard,1,23,7.6155490589
standard,1,24,7.6157071962
standard,1,25,7.6157071962
standard,1,26,7.6157071962
standard,1,27,7.6162134199
standard,1,28,7.6163791914
standard,1,29,7.6167455368
standard,1,30,7.6167700451
standard,1,31,7.6174927556
standard,1,32,7.6184760349
standard,1,33,7.6184760349
standard,1,34,7.6186330916
standard,1,35,7.6186330916
standard,1,36,7.6187450995
standard,1,37,7.6189269283
standard,1,38,7.6190830096
standard,1,39,7.6192218248
standard,1,40,7.6195596119
standard,1,41,7.6195596119
standard,1,42,7.6199829039
standard,1,43,7.6199829039
standard,1,44,7.6199829039
standard,1,45,7.6199829039
standard,1,46,7.6199979692
standard,1,47,7.6201112494
standard,1,48,7.6201112494
standard,1,49,7.6201112494
standard,1,50,7.6201112494
standard,1,51,7.6201112494
standard,1,52,7.6201381374
standard,1,53,7.6201381374
standard,1,54,7.6201381374
standard,1,55,7.6201381374
standard,1,56,7.6201381374
standard,1,57,7.6201381374
standard,2,1,7.5851819988
standard,2,2,7.5851819988
standard,2,3,7.5851819988
standard,2,4,7.5851819988
standard,2,5,7.5899143719
standard,2,6,7.5913850262
standard,2,7,7.5913850262
standard,2,8,7.5937116372
standard,2,9,7.5937116372
standard,2,10,7.5937116372
standard,2,11,7.5960373899
standard,2,12,7.5960373899
standard,2,13,7.5977490566
standard,2,14,7.5977490566
standard,2,15,7.5977490566
standard,2,16,7.5987548027
standard,2,17,7.5992933339
standard,2,18,7.6054277523
standard,2,19,7.6054277523
standard,2,20,7.6054277523
standard,2,21,7.6059091587
standard,2,22,7.6074368057
standard,2,23,7.6086812401
standard,2,24,7.6089677252
standard,2,25,7.6089677252
standard,2,26,7.6090417743
standard,2,27,7.6104076624
standard,2,28,7.6143161719
standard,2,29,7.6143161719
standard,2,30,7.6143161719
standard,2,31,7.6143161719
standard,2,32,7.6143161719
standard,2,33,7.6143161719
standard,2,34,7.6143161719
standard,2,35,7.6150640970
standard,2,36,7.6154866450
standard,2,37,7.6154866450
standard,2,38,7.6156222299
standard,2,39,7.6156222299
standard,2,40,7.6158165168
standard,2,41,7.6160257507
standard,2,42,7.6164270492
standard,2,43,7.6165164024
standard,2,44,7.6165164024
standard,2,45,7.6165164024
standard,2,46,7.6165164024
standard,2,47,7.6165164024
standard,2,48,7.6166385210
standard,2,49,7.6167458945
standard,2,50,7.6167458945
standard,2,51,7.6167458945
standard,2,52,7.6168483687
standard,2,53,7.6175058299
standard,2,54,7.6176237770
standard,2,55,7.6179352166
standard,2,56,7.6185873277
standard,2,57,7.6185873277
standard,2,58,7.6185873277
standard,2,59,7.6186740853
standard,2,60,7.6186740853
standard,2,61,7.6186991818
standard,2,62,7.6188358632
standard,2,63,7.6188358632
standard,2,64,7.6188358632
standard,2,65,7.6188358632
standard,2,66,7.6188358632
standard,2,67,7.6188424950
standard,2,68,7.6192334423
standard,2,69,7.6194679502
standard,2,70,7.6195211506
standard,2,71,7.6195297298
standard,2,72,7.6195803746
standard,2,73,7.6195803746
standard,2,74,7.6196846228
standard,2,75,7.6196846228
standard,2,76,7.6196859689
standard,2,77,7.6197286714
standard,2,78,7.6197786399
standard,2,79,7.6197786399
standard,2,80,7.6197786399
standard,3,1,7.5689851352
standard,3,2,7.5689851352
standard,3,3,7.5689851352
standard,3,4,7.5689851352
standard,3,5,7.5689851352
standard,3,6,7.5689851352
standard,3,7,7.5700096142
standard,3,8,7.5700096142
standard,3,9,7.5700096142
standard,3,10,7.5700096142
standard,3,11,7.5700096142
standard,3,12,7.5700096142
standard,3,13,7.5700096142
standard,3,14,7.5700096142
standard,3,15,7.5700096142
standard,3,16,7.5752787058
standard,3,17,7.5800749126
standard,3,18,7.5806673636
standard,3,19,7.5812740368
standard,3,20,7.5858660437
standard,3,21,7.5858660437
standard,3,22,7.5867467524
standard,3,23,7.5867467524
standard,3,24,7.5867467524
standard,3,25,7.5879663391
standard,3,26,7.5978047485
standard,3,27,7.5979756875
standard,3,28,7.5979756875
standard,3,29,7.5979756875
standard,3,30,7.5982129069
standard,3,31,7.5982129069
standard,3,32,7.5982129069
standard,3,33,7.5982129069
standard,3,34,7.5982129069
standard,3,35,7.5987825323
standard,3,36,7.5987825323
standard,3,37,7.5993172792
standard,3,38,7.5993172792
standard,3,39,7.6006755757
standard,3,40,7.6041024172
standard,3,41,7.6064305044
standard,3,42,7.6086553906
standard,3,43,7.6105105563
standard,3,44,7.6153790290
standard,3,45,7.6162095724
standard,3,46,7.6167672992
standard,3,47,7.6174163029
standard,3,48,7.6174163029
standard,3,49,7.6174163029
standard,3,50,7.6174163029
standard,3,51,7.6176357724
standard,3,52,7.6176357724
standard,3,53,7.6177915666
standard,3,54,7.6177915666
standard,3,55,7.6185065559
standard,3,56,7.6185065559
standard,3,57,7.6187544893
standard,3,58,7.6187544893
standard,3,59,7.6187544893
standard,3,60,7.6187544893
standard,3,61,7.6187544893
standard,3,62,7.6193319416
standard,3,63,7.6193319416
standard,3,64,7.6193319416
standard,3,65,7.6193319416
standard,3,66,7.6193319416
standard,3,67,7.6193319416
standard,3,68,7.6193944989
standard,3,69,7.6196688777
standard,3,70,7.6198809179
standard,3,71,7.6198809179
standard,3,72,7.6199311785
standard,3,73,7.6199311785
standard,3,74,7.6199311785
standard,3,75,7.6199311785
standard,3,76,7.6199456165
standard,3,77,7.6199456165
standard,3,78,7.6199507933
standard,3,79,7.6199507933
standard,3,80,7.6199507933
