source,seed,rank,theta_rad,theta_deg,uav_speed_mps,feasible,reason,joint_intervals_s,joint_duration_s,diagnostic_checked_patches,diagnostic_uncertain_checks,release_time_1_s,fuse_delay_1_s,burst_time_1_s,release_point_1_x_m,release_point_1_y_m,release_point_1_z_m,burst_point_1_x_m,burst_point_1_y_m,burst_point_1_z_m,release_time_2_s,fuse_delay_2_s,burst_time_2_s,release_point_2_x_m,release_point_2_y_m,release_point_2_z_m,burst_point_2_x_m,burst_point_2_y_m,burst_point_2_z_m,release_time_3_s,fuse_delay_3_s,burst_time_3_s,release_point_3_x_m,release_point_3_y_m,release_point_3_z_m,burst_point_3_x_m,burst_point_3_y_m,burst_point_3_z_m,profile,record_type,elapsed_seconds,iterations,function_evaluations,success,message
de_best,20250831,0,0.089491048629,5.1274593906,121.1625452683,True,,"[1.4321674403, 6.0073139247]",4.5751464844,0,0,0.1330672247,0.6553773277,0.7884445524,17816.0582459386,1.4409179249,1800.0000000000,17895.1476711433,8.5376687706,1797.8953547356,1.2965715868,0.1355958535,1.4321674403,17956.4672703714,14.0399203871,1800.0000000000,17972.8306654151,15.5082195600,1799.9099074461,3.6697185089,5.8345061833,9.5042246922,18242.8531706116,39.7375326086,1800.0000000000,18946.9479277278,102.9164601340,1633.1968342252,quick,de_best,310.008803,40,3280,False,Maximum number of iterations has been exceeded.
de_population,20250831,1,0.089491048629,5.1274593906,121.1625452683,True,,"[1.4321674403, 6.0073139247]",4.5751464844,0,0,0.1330672247,0.6553773277,0.7884445524,17816.0582459386,1.4409179249,1800.0000000000,17895.1476711433,8.5376687706,1797.8953547356,1.2965715868,0.1355958535,1.4321674403,17956.4672703714,14.0399203871,1800.0000000000,17972.8306654151,15.5082195600,1799.9099074461,3.6697185089,5.8345061833,9.5042246922,18242.8531706116,39.7375326086,1800.0000000000,18946.9479277278,102.9164601340,1633.1968342252,quick,de_population,,,,,
de_population,20250831,2,0.103436697315,5.9264862029,138.7915231228,True,,"[1.0815219322, 5.2322055260]",4.1506835938,0,0,0.2944979344,0.5391236072,0.8336215416,17840.6553542004,4.2203175841,1800.0000000000,17915.0812113916,11.9462557784,1798.5757941072,1.2944979344,0.5391236072,1.8336215416,17978.7050633887,18.5508682983,1800.0000000000,18053.1309205786,26.2768064924,1798.5757941072,2.2944979344,0.5391236072,2.8336215416,18116.7547725770,32.8814190124,1800.0000000000,18191.1806297682,40.6073572066,1798.5757941072,quick,de_population,,,,,
de_population,20250831,3,0.113276389397,6.4902590309,109.9607870871,True,,"[1.1261224362, 5.2756341549]",4.1495117188,0,0,0.2567297509,0.7122149509,0.9689447018,17828.0492805553,3.1909813180,1800.0000000000,17905.8630785327,12.0433429727,1797.5144743323,6.7044501624,4.4874188331,11.1918689955,18532.5017957557,83.3318894241,1800.0000000000,19022.7794880290,139.1075430489,1701.3290538588,11.8733559275,1.2699749376,13.1433308651,19097.2360637874,147.5779757140,1800.0000000000,19235.9885192190,163.3629257856,1792.0971019237,quick,de_population,,,,,
de_population,20250831,4,0.112732666707,6.4591060156,135.9365180785,True,,"[0.9913131427, 5.1406295489]",4.1493164063,0,0,0.0911631516,0.7054722567,0.7966354083,17812.3137393933,1.3940712784,1800.0000000000,17907.6044502420,12.1821868011,1797.5613135854,3.9881715707,2.6852479805,6.6734195512,18338.6968804685,60.9873105831,1800.0000000000,18701.4031193402,102.0502512507,1764.6682720878,10.3958602688,1.6870852117,12.0829454806,19204.2067642672,158.9739929081,1800.0000000000,19432.0875172692,184.7729807306,1786.0533430934,quick,de_population,,,,,
de_population,20250831,5,0.115616422354,6.6243330433,132.7221001551,True,,"[1.1484956267, 5.2963471892]",4.1478515625,0,0,0.1591861969,0.6309598204,0.7901460173,17820.9864761134,2.4372506802,1800.0000000000,17904.1697134566,12.0976815549,1798.0492595545,2.7099737198,9.6223529973,12.3323267170,18157.2721745941,41.4915703733,1800.0000000000,19425.8449858240,188.8164442755,1346.3105817009,10.0458090605,2.7686180109,12.8144270714,19124.3995771732,153.8082788594,1800.0000000000,19489.4031822459,196.1977338557,1762.4402961182,quick,de_population,,,,,
de_population,20250831,6,0.113140934683,6.4824980475,138.3017047708,True,,"[1.3284952438, 5.4761514938]",4.1476562500,0,0,0.1140816459,0.6155366448,0.7296182907,17815.6768097246,1.7812961134,1800.0000000000,17900.2622904391,11.3924217627,1798.1434617309,3.5728588875,3.9130785818,7.4859374692,18290.9731842836,55.7874108506,1800.0000000000,18828.6984939403,116.8870874417,1724.9702984637,5.3555084146,2.5144809164,7.8699893310,18535.9403498889,83.6220958192,1800.0000000000,18881.4739243304,122.8837583643,1769.0191900319,quick,de_population,,,,,
de_population,20250831,7,0.100525049714,5.7596610840,123.3707495663,True,,"[1.1824210319, 5.3284171257]",4.1459960937,0,0,0.3223309170,0.6031076930,0.9254386100,17839.5654515479,3.9907706745,1800.0000000000,17913.5956700069,11.4578312865,1798.2176794423,3.5276941719,3.2254260728,6.7531202447,18233.0171431033,43.6762895060,1800.0000000000,18628.9315039582,83.6102055638,1749.0234705793,5.6719721627,4.0154889938,9.6874611565,18496.2228192198,70.2245393681,1800.0000000000,18989.1157650225,119.9402038383,1720.9916558897,quick,de_population,,,,,
de_population,20250831,8,0.125460417952,7.1883524446,108.0810125240,True,,"[1.4548939750, 5.5989369438]",4.1440429688,0,0,0.1098982098,0.7296149058,0.8395131157,17811.7845513181,1.4863012130,1800.0000000000,17890.0222615861,11.3538643078,1797.3915442371,8.8435466721,0.4008722680,9.2444189401,18748.3068900518,119.6031688396,1800.0000000000,18791.2930298765,125.0247033588,1799.2125769812,10.0274336173,1.5281726150,11.5556062323,18875.2568784226,135.6144633399,1800.0000000000,19039.1251400711,156.2819957295,1788.5569734484,quick,de_population,,,,,
de_population,20250831,9,0.112600924199,6.4515577259,133.0393585805,True,,"[1.7543127909, 5.8973993992]",4.1430866083,0,0,0.1796456857,0.5112393709,0.6908850565,17823.7485934771,2.6854728539,1800.0000000000,17891.3328271022,10.3278464930,1798.7193080977,2.8086196180,2.7672465781,5.5758661961,18171.2906619441,41.9852651287,1800.0000000000,18537.1119383951,83.3520563136,1762.4774972436,8.2046313863,2.9305487461,11.1351801324,18884.6264118056,122.6487281604,1800.0000000000,19272.0357202140,166.4566775489,1757.9182318291,quick,de_population,,,,,
de_population,20250831,10,0.115764202750,6.6328002363,82.1569271824,True,,"[1.7481089730, 5.8908824105]",4.1427734375,0,0,0.3156215938,0.7670088636,1.0826304573,17825.7569423895,2.9951234363,1800.0000000000,17888.3502614162,10.2737325950,1797.1173172758,5.3549475631,7.2537550797,12.6087026428,18237.0013921815,50.8163232906,1800.0000000000,18828.9588354602,119.6515749627,1542.1768824947,7.0719090726,0.8208530891,7.8927621617,18377.1175298502,67.1096053656,1800.0000000000,18444.1049164622,74.8991748163,1796.6983810102,quick,de_population,,,,,
de_best,20250832,0,0.095907685372,5.4951055947,134.4748201705,True,,"[1.0790856903, 5.2307458466]",4.1516601562,0,0,0.5199481030,0.4042059467,0.9241540497,17869.5986023803,6.6955827502,1800.0000000000,17923.7043271779,11.9007067793,1799.1994260078,6.8659414672,4.5258335227,11.3917749899,18719.0531274609,88.4155149142,1800.0000000000,19324.8668346287,146.6965100612,1699.6324715299,11.8930958250,1.6937042262,13.5868000513,19391.9720500706,153.1522219232,1800.0000000000,19618.6859207819,174.9627386585,1785.9436933709,quick,de_best,300.381508,33,2720,True,Optimization terminated successfully.
de_population,20250832,1,0.095907685372,5.4951055947,134.4748201705,True,,"[1.0790856903, 5.2307458466]",4.1516601562,0,0,0.5199481030,0.4042059467,0.9241540497,17869.5986023803,6.6955827502,1800.0000000000,17923.7043271779,11.9007067793,1799.1994260078,6.8659414672,4.5258335227,11.3917749899,18719.0531274609,88.4155149142,1800.0000000000,19324.8668346287,146.6965100612,1699.6324715299,11.8930958250,1.6937042262,13.5868000513,19391.9720500706,153.1522219232,1800.0000000000,19618.6859207819,174.9627386585,1785.9436933709,quick,de_population,,,,,
de_population,20250832,2,0.093021192030,5.3297217086,132.1873284276,True,,"[1.0962351917, 5.2474070667]",4.1511718750,0,0,0.5748939977,0.3817415846,0.9566355824,17875.6651541469,7.0588344839,1800.0000000000,17925.9083919600,11.7460475566,1799.2859394766,4.6491776723,7.1135912346,11.7627689070,18411.9054062582,57.0849161851,1800.0000000000,19348.1666638709,144.4291280054,1552.0444167584,5.7621453828,3.5787654498,9.3409108326,18558.3895819534,70.7504873772,1800.0000000000,19029.4117886294,114.6923498194,1737.2429454912,quick,de_population,,,,,
de_population,20250832,3,0.104334665905,5.9779360132,124.2620392878,True,,"[1.0872732859, 5.2380545359]",4.1507812500,0,0,0.3291469477,0.5952845413,0.9244314890,17840.6780572245,4.2595990096,1800.0000000000,17914.2470780173,11.9633722350,1798.2636179429,2.7968792622,2.5391044995,5.3359837617,18145.6559919098,36.1953353052,1800.0000000000,18459.4545516809,69.0547225429,1768.4094468688,4.4805433923,2.4154656927,6.8960090850,18353.7338316555,57.9841870985,1800.0000000000,18652.2523273255,89.2435238334,1771.4110748885,quick,de_population,,,,,
de_population,20250832,4,0.103436697315,5.9264862029,138.7915231228,True,,"[1.0815219322, 5.2322055260]",4.1506835938,0,0,0.2944979344,0.5391236072,0.8336215416,17840.6553542004,4.2203175841,1800.0000000000,17915.0812113916,11.9462557784,1798.5757941072,1.2944979344,0.5391236072,1.8336215416,17978.7050633887,18.5508682983,1800.0000000000,18053.1309205786,26.2768064924,1798.5757941072,2.2944979344,0.5391236072,2.8336215416,18116.7547725770,32.8814190124,1800.0000000000,18191.1806297682,40.6073572066,1798.5757941072,quick,de_population,,,,,
de_population,20250832,5,0.104017742809,5.9597776574,118.5445953894,True,,"[1.0430663850, 5.1934346796]",4.1503682946,0,0,0.3291637939,0.6455920442,0.9747558381,17838.8096836699,4.0515183037,1800.0000000000,17914.9274812046,11.9977992518,1797.9577334709,3.1779647414,2.1471025600,5.3250673014,18174.6943273498,39.1160345045,1800.0000000000,18427.8460187507,65.5436838521,1777.4107579236,13.2570648437,0.1903789528,13.4474437966,19363.0591899310,163.1748140901,1800.0000000000,19385.5056043768,165.5180967552,1799.8224036861,quick,de_population,,,,,
de_population,20250832,6,0.093509318075,5.3576892708,130.2379030390,True,,"[1.2680636730, 5.4180636730]",4.1500000000,0,0,0.6491383301,0.2906538585,0.9397921886,17884.1730650260,7.8939876575,1800.0000000000,17921.8618364244,11.4285470341,1799.5860496393,11.5187019086,1.9708816412,13.4895835498,19293.6176154713,140.0756764398,1800.0000000000,19549.1797057645,164.0430107156,1780.9665652272,12.6130284724,0.7648851801,13.3779136525,19435.5177571404,153.3834723076,1800.0000000000,19534.6995909905,162.6850246749,1797.1332582399,quick,de_population,,,,,
de_population,20250832,7,0.096395811418,5.5230731570,132.5253947818,True,,"[1.2585363227, 5.4076574165]",4.1491210937,0,0,0.5941924354,0.3126349030,0.9068273384,17878.3800122864,7.5789944959,1800.0000000000,17919.6197287146,11.5666895052,1799.5210711454,4.1406177578,6.7367689072,10.8773866650,18346.1895026153,52.8140671745,1800.0000000000,19234.8376884272,138.7423480280,1577.6181289880,8.8162208315,4.9438021146,13.7600229461,18962.9489976002,112.4519350622,1800.0000000000,19615.0866678519,175.5107133045,1680.2382211937,quick,de_population,,,,,
de_population,20250832,8,0.108064005457,6.1916114300,137.2356792096,True,,"[0.8811769573, 5.0300585847]",4.1488816273,0,0,0.3195275670,0.5469521247,0.8664796917,17843.5947919426,4.7294520942,1800.0000000000,17918.2182878250,12.8251037341,1798.5341325290,2.1632660896,2.1095171044,4.2727831940,18095.1455362071,32.0193447914,1800.0000000000,18382.9578214832,63.2431298971,1778.1946941725,3.2940982561,3.5773215588,6.8714198149,18249.4307939146,48.7572325679,1800.0000000000,18737.5032019862,101.7065636607,1737.2935752771,quick,de_population,,,,,
de_population,20250832,9,0.097880365583,5.6081318451,133.2940320447,True,,"[1.3935553972, 5.5419928972]",4.1484375000,0,0,0.4800563800,0.3735087828,0.8535651628,17863.6823714030,6.2532364086,1800.0000000000,17913.2305620253,11.1185789320,1799.3164068270,3.7124957737,2.8630231889,6.5755189626,18292.4849341198,48.3591401021,1800.0000000000,18672.2822113569,85.6530113818,1759.8351812761,8.8735255081,4.7503118350,13.6238373431,18977.1266263206,115.5869499680,1800.0000000000,19607.2841143711,177.4647296517,1689.4292336029,quick,de_population,,,,,
