final_rank,time_s,status,active_indices,checked_patches,passed_patches,uncertain_patches,witness_distance_m,witness_point_x_m,witness_point_y_m,witness_point_z_m
1,0.7884445524,invalid,1,48,0,0,13.4041535804,6.4671567276,202.6787840266,2.5000000000
1,0.8384445524,invalid,1,48,0,0,13.2041495224,6.4671567276,202.6787840266,2.5000000000
1,0.8884445524,invalid,1,48,0,0,13.0040645372,6.4671567276,202.6787840266,2.5000000000
1,0.9384445524,invalid,1,48,0,0,12.8039012049,6.4671567276,202.6787840266,2.5000000000
1,0.9884445524,invalid,1,48,0,0,12.6036622982,6.4671567276,202.6787840266,2.5000000000
1,1.0384445524,invalid,1,48,0,0,12.4033507982,6.4671567276,202.6787840266,2.5000000000
1,1.0884445524,invalid,1,48,0,0,12.2029699120,6.4671567276,202.6787840266,2.5000000000
1,1.1384445524,invalid,1,48,0,0,12.0025230917,6.4671567276,202.6787840266,2.5000000000
1,1.1884445524,invalid,1,48,0,0,11.8020140556,6.4671567276,202.6787840266,2.5000000000
1,1.2384445524,invalid,1,48,0,0,11.6014468117,6.4671567276,202.6787840266,2.5000000000
1,1.2884445524,invalid,1,48,0,0,11.4008256834,6.4671567276,202.6787840266,2.5000000000
1,1.3384445524,invalid,1,48,0,0,11.2001553382,6.4671567276,202.6787840266,2.5000000000
1,1.3884445524,invalid,1,48,0,0,10.9994408195,6.4671567276,202.6787840266,2.5000000000
1,1.4321674403,invalid,1,48,0,0,10.8238925208,6.4671567276,202.6787840266,2.5000000000
1,1.4321674403,valid,"1,2",48,48,0,,,,
1,1.4821674403,valid,"1,2",48,48,0,,,,
1,1.5321674403,valid,"1,2",48,48,0,,,,
1,1.5821674403,valid,"1,2",48,48,0,,,,
1,1.6321674403,valid,"1,2",48,48,0,,,,
1,1.6821674403,valid,"1,2",48,48,0,,,,
1,1.7321674403,valid,"1,2",48,48,0,,,,
1,1.7821674403,valid,"1,2",48,48,0,,,,
1,1.8321674403,valid,"1,2",48,48,0,,,,
1,1.8821674403,valid,"1,2",48,48,0,,,,
1,1.9321674403,valid,"1,2",48,48,0,,,,
1,1.9821674403,valid,"1,2",48,48,0,,,,
1,2.0321674403,valid,"1,2",48,48,0,,,,
1,2.0821674403,valid,"1,2",48,48,0,,,,
1,2.1321674403,valid,"1,2",48,48,0,,,,
1,2.1821674403,valid,"1,2",48,48,0,,,,
1,2.2321674403,valid,"1,2",48,48,0,,,,
1,2.2821674403,valid,"1,2",48,48,0,,,,
1,2.3321674403,valid,"1,2",48,48,0,,,,
1,2.3821674403,valid,"1,2",48,48,0,,,,
1,2.4321674403,valid,"1,2",48,48,0,,,,
1,2.4821674403,valid,"1,2",48,48,0,,,,
1,2.5321674403,valid,"1,2",48,48,0,,,,
1,2.5821674403,valid,"1,2",48,48,0,,,,
1,2.6321674403,valid,"1,2",48,48,0,,,,
1,2.6821674403,valid,"1,2",48,48,0,,,,
1,2.7321674403,valid,"1,2",48,48,0,,,,
1,2.7821674403,valid,"1,2",48,48,0,,,,
1,2.8321674403,valid,"1,2",48,48,0,,,,
1,2.8821674403,valid,"1,2",48,48,0,,,,
1,2.9321674403,valid,"1,2",48,48,0,,,,
1,2.9821674403,valid,"1,2",48,48,0,,,,
1,3.0321674403,valid,"1,2",48,48,0,,,,
1,3.0821674403,valid,"1,2",48,48,0,,,,
1,3.1321674403,valid,"1,2",48,48,0,,,,
1,3.1821674403,valid,"1,2",48,48,0,,,,
1,3.2321674403,valid,"1,2",48,48,0,,,,
1,3.2821674403,valid,"1,2",48,48,0,,,,
1,3.3321674403,valid,"1,2",48,48,0,,,,
1,3.3821674403,valid,"1,2",48,48,0,,,,
1,3.4321674403,valid,"1,2",48,48,0,,,,
1,3.4821674403,valid,"1,2",48,48,0,,,,
1,3.5321674403,valid,"1,2",48,48,0,,,,
1,3.5821674403,valid,"1,2",48,48,0,,,,
1,3.6321674403,valid,"1,2",48,48,0,,,,
1,3.6821674403,valid,"1,2",48,48,0,,,,
1,3.7321674403,valid,"1,2",48,48,0,,,,
1,3.7821674403,valid,"1,2",48,48,0,,,,
1,3.8321674403,valid,"1,2",48,48,0,,,,
1,3.8821674403,valid,"1,2",48,48,0,,,,
1,3.9321674403,valid,"1,2",48,48,0,,,,
1,3.9821674403,valid,"1,2",48,48,0,,,,
1,4.0321674403,valid,"1,2",48,48,0,,,,
1,4.0821674403,valid,"1,2",48,48,0,,,,
1,4.1321674403,valid,"1,2",48,48,0,,,,
1,4.1821674403,valid,"1,2",48,48,0,,,,
1,4.2321674403,valid,"1,2",48,48,0,,,,
1,4.2821674403,valid,"1,2",48,48,0,,,,
