uav,factor,perturbation,feasible,duration_s,delta_duration_s
FY1,heading_deg,-1.0000000000,True,9.8814465332,-0.0478857422
FY1,heading_deg,1.0000000000,True,9.7003427124,-0.2289895630
FY1,speed_mps,-1.0000000000,True,9.9289276123,-0.0004046631
FY1,speed_mps,1.0000000000,False,,
FY1,release_time_s,-0.1000000000,True,9.9177850342,-0.0115472412
FY1,release_time_s,0.1000000000,True,9.4592318726,-0.4701004028
FY1,fuse_delay_s,-0.1000000000,True,9.9215692139,-0.0077630615
FY1,fuse_delay_s,0.1000000000,True,9.3467300415,-0.5826022339
FY2,heading_deg,-1.0000000000,True,8.0797955322,-1.8495367432
FY2,heading_deg,1.0000000000,True,8.3006817627,-1.6286505127
FY2,speed_mps,-1.0000000000,True,7.1988003540,-2.7305319214
FY2,speed_mps,1.0000000000,False,,
FY2,release_time_s,-0.1000000000,True,6.0592297363,-3.8701025391
FY2,release_time_s,0.1000000000,True,6.0592297363,-3.8701025391
FY2,fuse_delay_s,-0.1000000000,True,6.0592297363,-3.8701025391
FY2,fuse_delay_s,0.1000000000,True,6.0592297363,-3.8701025391
FY3,heading_deg,-1.0000000000,True,8.4567169189,-1.4726153564
FY3,heading_deg,1.0000000000,True,8.4567169189,-1.4726153564
FY3,speed_mps,-1.0000000000,True,8.4567169189,-1.4726153564
FY3,speed_mps,1.0000000000,True,8.4567169189,-1.4726153564
FY3,release_time_s,-0.1000000000,True,8.4567169189,-1.4726153564
FY3,release_time_s,0.1000000000,True,8.4567169189,-1.4726153564
FY3,fuse_delay_s,-0.1000000000,True,8.4567169189,-1.4726153564
FY3,fuse_delay_s,0.1000000000,True,8.4567169189,-1.4726153564
