init_strategy,profile,seed,generation,best_duration_s
baseline,standard,20250841,1,9.820190429687528
baseline,standard,20250841,2,9.824554443359382
baseline,standard,20250841,3,9.825866699218743
baseline,standard,20250841,4,9.825866699218743
baseline,standard,20250841,5,9.8283203125
baseline,standard,20250841,6,9.8283203125
baseline,standard,20250841,7,9.829492187500021
baseline,standard,20250841,8,9.832080078125006
baseline,standard,20250841,9,9.832080078125006
baseline,standard,20250841,10,9.833105468749993
baseline,standard,20250841,11,9.836010742187472
baseline,standard,20250841,12,9.837866210937511
baseline,standard,20250841,13,9.838201904296893
baseline,standard,20250841,14,9.84333496093751
baseline,standard,20250841,15,9.852246093749997
baseline,standard,20250841,16,9.852362060546891
baseline,standard,20250841,17,9.852362060546891
baseline,standard,20250841,18,9.853161621093754
baseline,standard,20250841,19,9.853161621093754
baseline,standard,20250841,20,9.853161621093754
baseline,standard,20250841,21,9.85388793945312
baseline,standard,20250841,22,9.85648193359377
baseline,standard,20250841,23,9.85648193359377
baseline,standard,20250841,24,9.857830810546867
baseline,standard,20250841,25,9.857830810546867
baseline,standard,20250841,26,9.857830810546867
baseline,standard,20250841,27,9.857830810546867
baseline,standard,20250841,28,9.857830810546867
baseline,standard,20250841,29,9.857830810546867
baseline,standard,20250841,30,9.857830810546867
baseline,standard,20250841,31,9.858789062500001
baseline,standard,20250841,32,9.860040283203135
baseline,standard,20250841,33,9.860040283203135
baseline,standard,20250841,34,9.860308837890631
baseline,standard,20250841,35,9.861328125
baseline,standard,20250841,36,9.864343261718757
baseline,standard,20250841,37,9.864343261718757
baseline,standard,20250841,38,9.868426513671873
baseline,standard,20250841,39,9.868426513671873
baseline,standard,20250841,40,9.868426513671873
baseline,standard,20250841,41,9.869000244140631
baseline,standard,20250841,42,9.869000244140631
baseline,standard,20250841,43,9.869000244140631
baseline,standard,20250841,44,9.869000244140631
baseline,standard,20250841,45,9.869000244140631
baseline,standard,20250841,46,9.869000244140631
baseline,standard,20250841,47,9.869000244140631
baseline,standard,20250841,48,9.869195556640639
baseline,standard,20250841,49,9.869195556640639
baseline,standard,20250841,50,9.869195556640639
baseline,standard,20250841,51,9.869305419921892
baseline,standard,20250841,52,9.870806884765628
baseline,standard,20250841,53,9.87576293945312
baseline,standard,20250841,54,9.879779052734396
baseline,standard,20250841,55,9.879779052734396
baseline,standard,20250841,56,9.88101806640625
baseline,standard,20250841,57,9.884075927734386
baseline,standard,20250841,58,9.884075927734386
baseline,standard,20250841,59,9.897692871093746
baseline,standard,20250841,60,9.908422851562491
baseline,standard,20250841,61,9.91483154296875
baseline,standard,20250841,62,9.91483154296875
baseline,standard,20250841,63,9.915692138671895
baseline,standard,20250841,64,9.915692138671895
baseline,standard,20250841,65,9.915692138671895
baseline,standard,20250841,66,9.915692138671895
baseline,standard,20250841,67,9.915692138671895
baseline,standard,20250841,68,9.915692138671895
baseline,standard,20250841,69,9.915692138671895
baseline,standard,20250841,70,9.915692138671895
baseline,standard,20250841,71,9.915692138671895
baseline,standard,20250841,72,9.915692138671895
baseline,standard,20250841,73,9.915692138671895
baseline,standard,20250841,74,9.915692138671895
baseline,standard,20250841,75,9.91689453125002
baseline,standard,20250841,76,9.919207763671864
baseline,standard,20250841,77,9.919207763671864
