uav,bomb,marginal_M1_s,marginal_M2_s,marginal_M3_s,marginal_total_s,primary_missile,used
FY1,1,4.585531891917608,6.596394541702466e-09,6.596401647129824e-09,4.585531905110404,M1,True
FY1,2,0.0,0.0,0.0,0.0,,False
FY1,3,0.0,0.0,0.0,0.0,,False
FY2,1,2.757066681624565e-07,0.0,0.0,2.757066681624565e-07,,False
FY2,2,0.0,3.8657812499999196,0.0,3.8657812499999196,M2,True
FY2,3,0.0,3.338104254643799,0.0,3.338104254643799,M2,True
FY3,1,0.0,0.0,0.21011535644527157,0.21011535644527157,M3,True
FY3,2,1.4296801757809519,1.380776977538801,0.917814331054501,3.728271484374254,M1,True
FY3,3,0.0,0.0,0.0,0.0,,False
FY4,1,0.0,3.608089575550956,0.0,3.608089575550956,M2,True
FY4,2,3.606597038676143,-2.4058344649802166e-08,-2.4058344649802166e-08,3.6065969905594537,M1,True
FY4,3,-5.179950903766439e-07,-9.23564655863629e-08,3.35609436694849,3.356093756596934,M3,True
FY5,1,0.0,0.0,-5.005834289306677e-07,-5.005834289306677e-07,,False
FY5,2,0.0,0.0,3.7393371547908565,3.7393371547908565,M3,True
FY5,3,0.0,0.0,0.0,0.0,,False
