uav,bomb,marginal_M1_s,marginal_M2_s,marginal_M3_s,marginal_total_s,primary_missile,used
FY1,1,4.036954195565151,0.0,0.0,4.036954195565151,M1,True
FY1,2,2.551569920183127,9.596443462100979e-08,0.0,2.5515700161475614,M1,True
FY1,3,0.0,0.0,0.0,0.0,,False
FY2,1,0.0,0.0,0.0,0.0,,False
FY2,2,0.0,3.8657819563159137,0.0,3.8657819563159137,M2,True
FY2,3,0.0,3.338104858398964,0.0,3.338104858398964,M2,True
FY3,1,0.0,0.0,0.21011535644527157,0.21011535644527157,M3,True
FY3,2,1.4296801757809519,1.380776977538801,0.9178149414060641,3.728272094725817,M1,True
FY3,3,0.0,0.0,0.0,0.0,,False
FY4,1,0.0,3.608089586718336,0.0,3.608089586718336,M2,True
FY4,2,3.8652615894574325,0.0,0.0,3.8652615894574325,M1,True
FY4,3,0.0,7.105427357601002e-15,3.3560943603520883,3.3560943603520954,M3,True
FY5,1,0.0,4.2615291917513787e-07,0.0,4.2615291917513787e-07,,False
FY5,2,3.8841180897836907,0.0,0.0,3.8841180897836907,M1,True
FY5,3,0.0,1.1167379909693409e-08,0.0,1.1167379909693409e-08,,False
