grid,rank,source,M1_s,M2_s,M3_s,total_s,minimum_s,grid_spec
dense,1,multistart_3,15.518506373402104,12.192793662174882,4.484322509765747,32.19562254534273,4.484322509765747,180x9x9@0.02
dense,2,multistart_2,15.486299883885227,12.192794203908004,4.484322509765747,32.16341659755898,4.484322509765747,180x9x9@0.02
dense,3,archive_base,15.450752371187676,12.192793615638411,4.484322509765747,32.12786849659183,4.484322509765747,180x9x9@0.02
dense,4,multistart_1,15.450752371187676,12.192793615638411,4.484322509765747,32.12786849659183,4.484322509765747,180x9x9@0.02
high,1,multistart_3,15.517559718128272,12.192753378972014,4.484024047851861,32.194337144952144,4.484024047851861,360x13x11@0.01
high,2,multistart_2,15.485353838962956,12.192753310353574,4.484024047851861,32.16213119716839,4.484024047851861,360x13x11@0.01
high,3,archive_base,15.449802358980257,12.192753332435544,4.484024047851861,32.12657973926766,4.484024047851861,360x13x11@0.01
high,4,multistart_1,15.449802358980257,12.192753332435544,4.484024047851861,32.12657973926766,4.484024047851861,360x13x11@0.01
ultra,1,multistart_3,15.515270899770023,12.192646567448417,4.4839718627928775,32.19188933001132,4.4839718627928775,720x21x15@0.005
ultra,2,multistart_2,15.483066851659382,12.192646498829983,4.4839718627928775,32.159685213282245,4.4839718627928775,720x21x15@0.005
