profile,seed,stage,generation,best_score
standard,20250951,point,1,39.94904650820789
standard,20250951,point,2,39.96452929990422
standard,20250951,point,3,40.02140824001862
standard,20250951,point,4,40.05443579185192
standard,20250951,point,5,40.072936328316445
standard,20250951,point,6,40.0826688788535
standard,20250951,point,7,40.08288675853498
standard,20250951,point,8,42.202484453240594
standard,20250951,point,9,43.70762749512862
standard,20250951,point,10,44.03686613664193
standard,20250951,point,11,44.31372682511608
standard,20250951,point,12,44.36069108299095
standard,20250951,point,13,44.36069108299095
standard,20250951,point,14,44.36069108299095
standard,20250951,point,15,44.36069108299095
standard,20250951,point,16,44.48397800429456
standard,20250951,point,17,44.48397800429456
standard,20250951,point,18,44.48397800429456
standard,20250951,point,19,44.560481752134706
standard,20250951,point,20,44.731356578083165
standard,20250951,point,21,44.731356578083165
standard,20250951,point,22,44.731356578083165
standard,20250951,point,23,44.731356578083165
standard,20250951,point,24,44.731356578083165
standard,20250951,point,25,44.75924966318024
standard,20250951,point,26,44.777388447328576
standard,20250951,point,27,44.80637355988451
standard,20250951,point,28,44.80941959254962
standard,20250951,point,29,44.80941959254962
standard,20250951,point,30,44.83585346711139
standard,20250951,point,31,44.83585346711139
standard,20250951,point,32,45.713358279111894
standard,20250951,point,33,45.713358279111894
standard,20250951,point,34,45.713358279111894
standard,20250951,point,35,45.713358279111894
standard,20250951,point,36,47.45807884676224
standard,20250951,point,37,47.45807884676224
standard,20250951,point,38,47.45807884676224
standard,20250951,point,39,47.45807884676224
standard,20250951,point,40,47.45807884676224
standard,20250951,point,41,47.45807884676224
standard,20250951,point,42,47.45807884676224
standard,20250951,point,43,47.45807884676224
standard,20250951,point,44,47.45807884676224
standard,20250951,point,45,47.45807884676224
standard,20250951,point,46,47.45807884676224
standard,20250951,point,47,47.45807884676224
standard,20250951,point,48,47.45807884676224
standard,20250951,point,49,47.45807884676224
standard,20250951,point,50,47.45807884676224
standard,20250951,point,51,47.45807884676224
standard,20250951,point,52,47.45807884676224
standard,20250951,point,53,47.45807884676224
standard,20250951,point,54,47.45807884676224
standard,20250951,point,55,47.45807884676224
standard,20250951,point,56,47.45807884676224
standard,20250951,point,57,47.45807884676224
standard,20250951,point,58,47.45807884676224
standard,20250951,point,59,47.45807884676224
standard,20250951,point,60,47.480395697554414
standard,20250951,point,61,47.480395697554414
standard,20250951,point,62,47.480395697554414
standard,20250951,point,63,47.480395697554414
standard,20250951,point,64,47.480395697554414
standard,20250951,point,65,47.480395697554414
standard,20250951,point,66,47.480395697554414
standard,20250951,point,67,47.480395697554414
standard,20250951,point,68,47.480395697554414
standard,20250951,point,69,47.480395697554414
standard,20250951,point,70,47.480395697554414
standard,20250951,point,71,47.546695578832384
standard,20250951,point,72,47.546695578832384
standard,20250951,point,73,47.546695578832384
standard,20250951,point,74,47.546695578832384
standard,20250951,point,75,47.546695578832384
standard,20250951,point,76,47.546695578832384
standard,20250951,point,77,47.546695578832384
standard,20250951,point,78,47.546695578832384
standard,20250951,point,79,47.546695578832384
standard,20250951,point,80,47.907675138126855
standard,20250951,point,81,47.907675138126855
standard,20250951,point,82,47.907675138126855
standard,20250951,point,83,47.907675138126855
standard,20250951,point,84,47.907675138126855
standard,20250951,point,85,47.907675138126855
standard,20250951,point,86,47.907675138126855
standard,20250951,point,87,47.907675138126855
standard,20250951,point,88,47.907675138126855
standard,20250951,point,89,47.907675138126855
standard,20250951,point,90,47.92803888039297
standard,20250951,point,91,47.92803888039297
standard,20250951,point,92,47.92803888039297
standard,20250951,point,93,47.92803888039297
standard,20250951,point,94,47.992959159513546
standard,20250951,point,95,47.992959159513546
standard,20250951,point,96,47.992959159513546
standard,20250951,point,97,47.992959159513546
standard,20250951,point,98,47.992959159513546
standard,20250951,point,99,48.15947902472617
standard,20250951,point,100,48.15947902472617
standard,20250951,point,101,48.15947902472617
standard,20250951,point,102,48.469833504930854
standard,20250951,point,103,48.469833504930854
standard,20250951,point,104,48.469833504930854
standard,20250951,point,105,48.469833504930854
standard,20250951,point,106,48.469833504930854
standard,20250951,point,107,48.469833504930854
standard,20250951,point,108,48.469833504930854
standard,20250951,point,109,48.469833504930854
standard,20250951,point,110,48.469833504930854
standard,20250951,point,111,48.469833504930854
standard,20250951,point,112,48.469833504930854
standard,20250951,point,113,48.469833504930854
standard,20250951,point,114,48.52395204422081
standard,20250951,point,115,48.52395204422081
standard,20250951,point,116,48.52395204422081
standard,20250951,point,117,48.5491473729785
standard,20250951,point,118,48.57598200797963
standard,20250951,point,119,48.61638537222166
standard,20250951,point,120,48.61638537222166
standard,20250951,point,121,48.630507529895645
standard,20250951,point,122,48.6962798795167
standard,20250951,point,123,48.6962798795167
standard,20250951,point,124,48.6962798795167
standard,20250951,point,125,48.6962798795167
standard,20250951,point,126,48.6962798795167
standard,20250951,point,127,48.6962798795167
standard,20250951,point,128,48.6962798795167
standard,20250951,point,129,48.69797641544255
standard,20250951,point,130,48.719077195062816
standard,20250951,point,131,48.719077195062816
standard,20250951,point,132,48.719077195062816
standard,20250951,point,133,48.719077195062816
standard,20250951,point,134,48.719077195062816
standard,20250951,point,135,48.727881779987364
standard,20250951,point,136,48.727881779987364
standard,20250951,point,137,48.730564511325
standard,20250951,point,138,48.74775152153557
standard,20250951,point,139,48.74775152153557
standard,20250951,point,140,48.74775152153557
standard,20250951,surface,1,27.283554708249515
standard,20250951,surface,2,27.341100539960827
standard,20250951,surface,3,27.570660488547432
standard,20250951,surface,4,27.71842136938942
standard,20250951,surface,5,27.743342812825457
standard,20250951,surface,6,27.743342812825457
standard,20250951,surface,7,27.743342812825457
standard,20250951,surface,8,27.81324203362167
standard,20250951,surface,9,27.81324203362167
standard,20250951,surface,10,27.81324203362167
standard,20250951,surface,11,27.81324203362167
standard,20250951,surface,12,27.827056969104945
standard,20250951,surface,13,27.829601815403812
standard,20250951,surface,14,27.829601815403812
standard,20250951,surface,15,27.872802251824844
standard,20250951,surface,16,27.872802251824844
standard,20250951,surface,17,27.872802251824844
standard,20250951,surface,18,27.87333617137462
standard,20250951,surface,19,27.885652098682975
