profile,uav,planned_missile,rank,heading_deg,speed_mps,release_times_s,fuse_delays_s,burst_times_s,point_duration_s,surface_duration_s
standard,FY1,M1,1,6.90425188679024,139.70967311666135,0.0000587647; 3.1508535929; 24.7145966208,0.7146103644; 14.6409375933; 0.0487580860,0.7146691291; 17.7917911862; 24.7633547068,4.832431640624996,4.585905761718751
standard,FY1,M1,2,6.90425188679024,139.70967311666135,0.0000372903; 2.3648680605; 16.4140110406,0.7145696856; 9.5518049570; 0.2920395279,0.7146069760; 11.9166730175; 16.7060505685,4.832407226562497,4.5858984375
standard,FY1,M2,3,175.42147034554515,119.43997369742067,2.1823299228; 11.6334018827; 14.9612495060,12.1592254280; 13.0653903353; 16.5196936022,14.3415553508; 24.6987922180; 31.4809431082,0.0,0.0
standard,FY1,M2,4,175.42147034554515,119.43997369742067,2.7958490631; 18.6134037656; 32.7406517316,16.0457734984; 11.3771669927; 17.6439137629,18.8416225615; 29.9905707583; 50.3845654945,0.0,0.0
standard,FY1,M3,5,182.72613904316302,83.64000641780478,32.1433321397; 48.1374999818; 51.5170442587,3.0037457565; 5.6551348327; 1.2459507700,35.1470778962; 53.7926348146; 52.7629950287,0.0,0.0
standard,FY1,M3,6,182.72613904316302,83.64000641780478,35.4974424959; 40.2923278587; 55.2064179914,10.4240200810; 6.3970629901; 1.1119217926,45.9214625769; 46.6893908488; 56.3183397840,0.0,0.0
standard,FY2,M2,1,272.23022738182806,135.93459029462858,2.6176160112; 3.6176160112; 4.6176160112,3.5184500929; 3.5184500929; 3.5184500929,6.1360661041; 7.1360661041; 8.1360661041,4.975239257812504,3.911787109374977
standard,FY2,M2,2,272.56317076128244,134.66109047890495,2.4368120503; 3.7021019960; 10.9540230336,14.4949139179; 3.5047474245; 11.9122159535,16.9317259682; 7.2068494205; 22.8662389871,4.969360351562505,3.911169433593754
standard,FY2,M1,3,253.27698439365793,139.97773522908125,2.1483241521; 3.1483241521; 4.1483241521,6.8698501244; 6.8698501244; 6.8698501244,9.0181742765; 10.0181742765; 11.0181742765,5.094506835937507,3.867094726562481
standard,FY2,M1,4,253.27698439365793,139.97773522908125,3.5053262626; 34.6638170434; 63.9726806141,6.6483738025; 3.6728623619; 1.8484898655,10.1537000651; 38.3366794053; 65.8211704796,4.490346679687502,3.6999462890624812
standard,FY2,M3,5,244.13991596889738,139.99057718808882,4.8652609787; 7.1893521861; 19.3388581237,5.1309807539; 6.6279965026; 9.6108134233,9.9962417326; 13.8173486887; 28.9496715470,4.205136718750003,3.637426757812481
standard,FY2,M3,6,244.13991596889738,139.99057718808882,5.0235222322; 7.1894183812; 19.1945887803,5.2036962150; 6.6281700917; 10.3806216223,10.2272184472; 13.8175884729; 29.5752104025,4.204697265625001,3.637250976562484
standard,FY3,M2,1,151.89693708898628,134.14270075492618,37.8503657100; 38.8527460221; 43.2004553454,11.4347346257; 11.7829836998; 5.5964086395,49.2851003357; 50.6357297219; 48.7968639849,7.013124999999846,1.5780615234374693
standard,FY3,M2,2,151.89693708898628,134.14270075492618,37.8596997016; 38.8634163453; 43.5394448660,11.4223031508; 11.7748897991; 8.9652276986,49.2820028524; 50.6383061444; 52.5046725646,7.014130092095797,1.5099462890624977
standard,FY3,M3,3,151.8984751205931,139.8830802596435,30.9859906875; 36.7399381803; 40.5002559572,11.6680604910; 11.8074861529; 11.7043915843,42.6540511784; 48.5474243332; 52.2046475416,6.706363833391691,1.4194546537043067
standard,FY3,M3,4,151.8984751205931,139.8830802596435,23.8910706783; 36.7404679929; 42.4826859090,4.8561043749; 11.8069020931; 6.8523373206,28.7471750532; 48.5473700859; 49.3350232295,6.706363801317096,1.4193383789062324
standard,FY3,M1,5,151.8407189868237,137.95261262066754,36.3082654245; 37.4267493803; 40.6488823786,11.3002408632; 11.6744640832; 2.1944056252,47.6085062877; 49.1012134635; 42.8432880037,6.943613281249867,0.5736474609374795
standard,FY3,M1,6,151.8407189868237,137.95261262066754,36.2297231252; 37.4201611063; 40.8014176421,11.2782074164; 11.6788963205; 2.5122306970,47.5079305415; 49.0990574268; 43.3136483391,6.917973632812362,0.4258520507812591
standard,FY4,M1,1,239.96892241389025,139.9910711844194,2.1750883558; 3.1785171288; 13.6837621402,11.7573403372; 12.8010135021; 13.2279905727,13.9324286930; 15.9795306309; 26.9117527128,4.938212890624895,3.6081372070312803
standard,FY4,M1,2,239.96892241389025,139.9910711844194,2.1753075639; 3.1785343393; 24.4095926287,11.7953789552; 12.8012646485; 12.8854467160,13.9706865190; 15.9797989879; 37.2950393447,4.9381787109375015,3.607785644531223
standard,FY4,M3,3,255.45492310112397,139.9976455619797,3.9992182326; 5.1768667226; 8.6115055509,12.2685435428; 11.9141861663; 11.9141861663,16.2677617753; 17.0910528888; 20.5256917171,4.00138199237491,3.4715968361249168
standard,FY4,M3,4,255.45492310112397,139.9976455619797,4.0090056068; 5.1767841957; 15.2200859838,12.0331366403; 11.9147369125; 11.9175436809,16.0421422471; 17.0915211082; 27.1376296646,4.000810546874913,3.4711523437500347
standard,FY4,M2,5,258.35808715234486,139.94176762652967,15.6905614463; 36.7755693016; 54.0553176016,11.2226471416; 11.8604086822; 3.0959164444,26.9132085879; 48.6359779838; 57.1512340460,0.0,0.0
standard,FY4,M2,6,258.35808715234486,139.94176762652967,24.5081689146; 37.4778676610; 44.7819630535,13.0430892080; 10.8418084911; 13.8294492012,37.5512581225; 48.3196761520; 58.6114122547,0.0,0.0
standard,FY5,M1,1,116.60484707129147,139.83880562721666,2.4896482365; 11.8816269658; 16.5776111648,2.0430410087; 4.3871202315; 4.9260415387,4.5326892452; 16.2687471973; 21.5036527034,4.462773437499909,3.8083374023437884
standard,FY5,M1,2,116.60484707129147,139.83880562721666,3.7940232962; 11.8808840482; 16.0213961720,2.4484038224; 4.3872878648; 4.9717034680,6.2424271186; 16.2681719130; 20.9930996400,4.461635742187404,3.80782470703128
standard,FY5,M3,3,116.46398100301285,138.89714880770873,6.4777161304; 11.8713701479; 17.2352218312,2.3480954647; 1.0983760172; 4.6384600243,8.8258115951; 12.9697461651; 21.8736818555,4.0785156250000085,3.737900390624972
