profile,uav,missile,rank,heading_deg,speed_mps,release_time_s,fuse_delay_s,burst_time_s,point_duration_s,surface_duration_s
standard,FY1,M1,1,6.90425188679024,139.70967311666135,0.00021272986444353936,0.7144990467042976,0.7147117765687412,4.832346191406247,4.586389160156249
standard,FY1,M1,2,6.905883943230673,138.14932399005124,0.0012478624187348686,0.7196479070102288,0.7208957694289637,4.8319970703124975,4.586273193359373
standard,FY1,M2,1,175.42147034554515,119.43997369742067,11.633401882687087,10.776693036995406,22.410094919682493,0.0,0.0
standard,FY1,M2,2,226.22781517280123,126.95364506253107,6.423396475387344,13.195715396298636,19.61911187168598,0.0,0.0
standard,FY1,M2,3,110.8465031955545,125.12572591916337,0.06954748726336213,3.685953305516465,3.755500792779827,0.0,0.0
standard,FY1,M2,4,64.11899966547233,117.88120765922821,38.18017808858146,14.275865210206392,52.45604329878785,0.0,0.0
standard,FY1,M3,1,182.72613904316302,83.64000641780478,45.14410129805636,0.46207556551249224,45.606176863568855,0.0,0.0
standard,FY1,M3,2,45.38552884844215,93.19653186452071,3.564701420080201,18.8091499475489,22.3738513676291,0.0,0.0
standard,FY1,M3,3,85.21169440015166,82.94171563936527,21.275224024680597,5.727529607714211,27.002753632394807,0.0,0.0
standard,FY1,M3,4,135.18949966643476,98.61701684019624,52.231309614353606,1.521682841682047,53.752992456035656,0.0,0.0
standard,FY2,M1,1,253.27698439365793,139.97773522908125,3.148324152118402,6.8698501243653425,10.018174276483744,5.094506835937507,3.8700927734374844
standard,FY2,M2,1,272.23022738182806,135.93459029462858,3.6176160111530207,3.5184500929110927,7.136066104064113,4.975239257812504,3.9117980957031113
standard,FY2,M2,2,272.56317076128244,134.66109047890495,3.704262614004288,3.5017666162423224,7.20602923024661,4.969008789062503,3.9116882324218594
standard,FY2,M3,1,244.13991596889738,139.99057718808882,7.188669432273123,6.628778236910321,13.817447669183444,4.204572753906248,3.6399780273437408
standard,FY3,M1,1,151.8407189868237,137.95261262066754,37.34419176847423,11.790104282109198,49.13429605058343,6.701987304687364,1.4606628417969034
standard,FY3,M2,1,151.89693708898628,134.14270075492618,38.85071636672136,11.783280636938466,50.63399700365982,6.708754882812343,1.4249084472656506
standard,FY3,M3,1,151.8984751205931,139.8830802596435,36.74010341167465,11.807363407922129,48.54746681959678,6.70636230468736,1.3978210449218977
standard,FY4,M1,1,239.96892241389025,139.9910711844194,3.178344342502877,12.800378475347093,15.97872281784997,4.935539550781144,3.611334228515677
standard,FY4,M2,1,258.35808715234486,139.94176762652967,0.5532063267710114,11.176729655993345,11.729935982764356,4.849287109375005,3.7071228027343572
standard,FY4,M3,1,255.45492310112397,139.9976455619797,5.176866722554205,11.914186166273215,17.09105288882742,4.001381835937416,3.473742675781299
standard,FY5,M1,1,116.60484707129147,139.83880562721666,11.88225918438981,4.385981647927273,16.268240832317083,4.460986328124907,3.8084594726563026
standard,FY5,M2,1,118.64126772727555,139.9986176176859,18.944984435350772,0.4580213474832367,19.403005782834008,3.822434082031169,3.578912353515676
standard,FY5,M3,1,116.46398100301285,138.89714880770873,11.87353184762616,1.0961211849996897,12.96965303262585,4.077968750000004,3.739123535156235
