grid,rank,source,M1_s,M2_s,M3_s,total_s,minimum_s,grid_spec,strict_total_delta_s,reordered_with_cross_check
medium,1,master_balanced,13.177263922804162,12.194876285010313,7.960146598848297,33.33228680666277,7.960146598848297,90x7x7@0.03,,
medium,2,master_center_rank7,13.17550411019009,12.222168155127488,7.629172477754537,33.02684474307212,7.629172477754537,90x7x7@0.03,,
medium,3,master_center_rank8,13.175491087117042,12.222166026520519,7.6291726834447715,33.02682979708233,7.6291726834447715,90x7x7@0.03,,
medium,4,master_center_rank1,13.177581392479059,12.22216562685885,7.501905030979881,32.90165205031779,7.501905030979881,90x7x7@0.03,,
medium,5,master_center_rank5,13.177582157111882,12.22216415329327,7.50190556419081,32.90165187459596,7.50190556419081,90x7x7@0.03,,
medium,6,master_center_rank3,13.177582157111882,12.222163381713923,7.50190556419081,32.90165110301662,7.50190556419081,90x7x7@0.03,,
medium,7,master_center_rank2,13.177574941549775,12.222164590149212,7.5019051336392515,32.90164466533824,7.5019051336392515,90x7x7@0.03,,
medium,8,master_center_rank4,13.177568163715769,12.22216349825188,7.501905236670115,32.90163689863776,7.501905236670115,90x7x7@0.03,,
medium,9,master_center_rank6,13.1137527081662,12.222164903518255,7.492442546708226,32.828360158392684,7.492442546708226,90x7x7@0.03,,
medium,10,master_lower,12.912835101492064,12.007344673712499,7.560483809074441,32.480663584279,7.560483809074441,90x7x7@0.03,,
medium,11,previous_best,9.622833276296781,12.19487363976496,8.224069827403287,30.04177674346503,8.224069827403287,90x7x7@0.03,,
dense,1,refined_master_lower,14.410578939196938,12.941954097713294,7.55874542948786,34.911278466398095,7.55874542948786,180x9x9@0.02,,
dense,2,refined_master_center_rank3,14.894189262967243,12.221515939002778,7.500601224185804,34.61630642615582,7.500601224185804,180x9x9@0.02,,
dense,3,refined_master_balanced,13.816881468478321,12.192793920829132,7.9597955286480975,33.96947091795555,7.9597955286480975,180x9x9@0.02,,
dense,4,master_balanced,13.1765272284685,12.192795596533657,7.9597962570514476,33.3291190820536,7.9597962570514476,180x9x9@0.02,,
dense,5,refined_master_center_rank7,13.17729311913012,12.221517114902134,7.627869416943252,33.02667965097551,7.627869416943252,180x9x9@0.02,,
dense,6,master_center_rank7,13.175443075034131,12.221517520361772,7.627868766817013,33.02482936221291,7.627868766817013,180x9x9@0.02,,
dense,7,master_center_rank8,13.175430051961083,12.221516002106512,7.627868362155684,33.02481441622328,7.627868362155684,180x9x9@0.02,,
dense,8,master_center_rank5,13.177522953010634,12.221515959933974,7.500601242901741,32.89964015584635,7.500601242901741,180x9x9@0.02,,
dense,9,master_center_rank3,13.177522953010634,12.221515798706044,7.500601242901741,32.89963999461842,7.500601242901741,180x9x9@0.02,,
dense,10,master_center_rank1,13.177521578026242,12.221516823147844,7.5006013200423745,32.89963972121646,7.5006013200423745,180x9x9@0.02,,
dense,11,master_center_rank2,13.177516347800104,12.221515786438278,7.500601422701752,32.89963355694013,7.500601422701752,180x9x9@0.02,,
dense,12,master_center_rank4,13.177508959614524,12.221515304892584,7.500600915381046,32.899625179888154,7.500600915381046,180x9x9@0.02,,
dense,13,master_center_rank6,13.113673362463356,12.221516099807396,7.4911400564738315,32.826329518744586,7.4911400564738315,180x9x9@0.02,,
dense,14,master_lower,12.912549456961086,12.00691834314626,7.5587443071212626,32.47821210722861,7.5587443071212626,180x9x9@0.02,,
dense,15,previous_best,9.622131982351537,12.192794171991501,8.223691409434583,30.03861756377762,8.223691409434583,180x9x9@0.02,,
high,1,refined_master_lower,14.410166951891213,12.94132787700991,7.558727729292766,34.91022255819389,7.558727729292766,360x13x11@0.01,,
high,2,refined_master_center_rank3,14.893543816189327,12.220966012244439,7.500584134342038,34.6150939627758,7.500584134342038,360x13x11@0.01,,
high,3,refined_master_balanced,13.81654943722753,12.192752416922708,7.959522091147928,33.96882394529817,7.959522091147928,360x13x11@0.01,,
high,4,master_balanced,13.176204352491068,12.192752871924178,7.9595222091998,33.328479433615044,7.9595222091998,360x13x11@0.01,,
high,5,refined_master_center_rank7,13.176648587879644,12.22096535708912,7.627851716747973,33.02546566171674,7.627851716747973,360x13x11@0.01,,
ultra,1,refined_master_lower,14.410162984608034,12.941326045955671,7.558703620405634,34.910192650969336,7.558703620405634,720x21x15@0.005,,
ultra,2,refined_master_center_rank3,14.89354183254776,12.22095044828081,7.500561856510011,34.61505413733858,7.500561856510011,720x21x15@0.005,,
ultra,3,refined_master_balanced,13.816532652561019,12.19264652092717,7.959467769859142,33.96864694334733,7.959467769859142,720x21x15@0.005,,
cross_check,1,refined_master_lower,14.41013185667836,12.941316585506447,7.55868744608922,34.91013588827403,7.55868744608922,1440x31x21@0.005,-5.676269530852096e-05,False
